"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"POMP.10",5.89603776983787e-26,-0.41499655295363,0.229,0.357,1.09011842326532e-21,"13","POMP"
"CALR.11",6.13672577827047e-26,-0.262829101647909,0.116,0.254,1.13461922914443e-21,"13","CALR"
"AIF1.12",1.25205346863367e-25,-0.368721635371577,0.097,0.231,2.31492165815679e-21,"13","AIF1"
"S100A9.12",1.68684754924881e-25,-0.658995375010399,0.117,0.254,3.11881243380612e-21,"13","S100A9"
"IL2RA.10",3.78791476064348e-25,-0.350273098354602,0.103,0.236,7.00347560095373e-21,"13","IL2RA"
"GSTP1.11",9.45500567489374e-25,-0.333550744342855,0.207,0.338,1.7481359992311e-20,"13","GSTP1"
"PRDX1.11",2.37508903813073e-24,-0.344416946551318,0.179,0.31,4.3913021225999e-20,"13","PRDX1"
"SNRPE.10",2.82931263270815e-24,-0.423821275690315,0.198,0.328,5.2311161266141e-20,"13","SNRPE"
"RPL22L1.9",3.07419811340399e-24,-0.273710887791773,0.084,0.213,5.68388489187264e-20,"13","RPL22L1"
"CLIC1.10",4.42252437815211e-24,-0.257022726907043,0.167,0.299,8.17680532276543e-20,"13","CLIC1"
"CYCS.10",9.50591687933998e-24,-0.357485564470724,0.15,0.28,1.75754897182117e-19,"13","CYCS"
"COX8A.10",9.67594105180012e-24,-0.2603315366641,0.156,0.286,1.78898474106733e-19,"13","COX8A"
"PSMA7.10",1.7205694996349e-23,-0.407262254753907,0.237,0.359,3.18116094787498e-19,"13","PSMA7"
"GPX1.10",2.00254640167642e-23,-0.282046389829243,0.131,0.259,3.70250804205954e-19,"13","GPX1"
"DYNLL1.11",2.38701404750562e-23,-0.287337962533952,0.172,0.301,4.41335027243315e-19,"13","DYNLL1"
"ARPC2.11",2.60264363497978e-23,-0.321196513096978,0.283,0.396,4.81202781671411e-19,"13","ARPC2"
"NPC2.9",2.94571503004889e-23,-0.29008813498523,0.105,0.231,5.44633251905739e-19,"13","NPC2"
"HLA-DRA.12",3.19299558497797e-23,-0.502223932717277,0.186,0.312,5.90352953706576e-19,"13","HLA-DRA"
"LGALS1.10",4.84505284995824e-23,-0.35924237249712,0.104,0.229,8.95801821428779e-19,"13","LGALS1"
"SLC25A5.10",6.27331227853267e-23,-0.335017320601293,0.172,0.3,1.15987270717791e-18,"13","SLC25A5"
"RANBP1.10",9.90758681315759e-23,-0.357324553275639,0.141,0.266,1.83181372588471e-18,"13","RANBP1"
"COX5A.10",1.19163732992936e-22,-0.275714000670696,0.135,0.262,2.20321825930639e-18,"13","COX5A"
"HLA-DPA1.10",1.19173491097465e-22,-0.268359401434865,0.089,0.212,2.20339867690103e-18,"13","HLA-DPA1"
"SEC61G.10",1.78772370082391e-22,-0.325848672044836,0.213,0.336,3.30532235045333e-18,"13","SEC61G"
