"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"UBE2T.1",0,0.558677200030134,0.557,0.055,0,"19","UBE2T"
"FKBP4.1",0,0.558663154451938,0.571,0.071,0,"19","FKBP4"
"CHD4.1",0,0.558440590395378,0.592,0.091,0,"19","CHD4"
"STUB1.1",0,0.558129995861645,0.597,0.099,0,"19","STUB1"
"SNW1.1",0,0.558056096840474,0.605,0.098,0,"19","SNW1"
"SLC25A39.1",0,0.557812268413398,0.567,0.078,0,"19","SLC25A39"
"LLPH.1",0,0.557467392222161,0.602,0.092,0,"19","LLPH"
"TIMM9.1",0,0.557338069745544,0.571,0.074,0,"19","TIMM9"
"HCLS1.1",0,0.557044538568399,0.691,0.154,0,"19","HCLS1"
"AC010642.1.1",0,0.556405557228632,0.567,0.069,0,"19","AC010642.1"
"BCL2A1.2",0,0.556353284421321,0.586,0.102,0,"19","BCL2A1"
"NDUFA8.1",0,0.556309094819715,0.617,0.087,0,"19","NDUFA8"
"MRPL37.1",0,0.556146022260495,0.598,0.07,0,"19","MRPL37"
"COPRS.1",0,0.556140610881399,0.589,0.07,0,"19","COPRS"
"EIF1AY.1",0,0.555914647020529,0.491,0.071,0,"19","EIF1AY"
"TNFAIP3.1",0,0.554827986514532,0.588,0.108,0,"19","TNFAIP3"
"MRPL16.1",0,0.554449214980628,0.588,0.086,0,"19","MRPL16"
"TGS1.1",0,0.554414640286307,0.612,0.078,0,"19","TGS1"
"FUBP1.1",0,0.55434780412361,0.581,0.082,0,"19","FUBP1"
"SURF4.1",0,0.554331841241367,0.598,0.087,0,"19","SURF4"
"EMC7.1",0,0.553444970167488,0.597,0.086,0,"19","EMC7"
"LCK.1",0,0.553056866736694,0.622,0.118,0,"19","LCK"
"CLTB.1",0,0.55249797371229,0.58,0.091,0,"19","CLTB"
"PTPN1.1",0,0.551828725215623,0.578,0.101,0,"19","PTPN1"
"PPP1CB.1",0,0.551734676623406,0.617,0.115,0,"19","PPP1CB"
"ATF4.1",0,0.55129711703242,0.58,0.092,0,"19","ATF4"
"RPN2.1",0,0.550680262306114,0.612,0.107,0,"19","RPN2"
"ECHS1.1",0,0.550230015429968,0.581,0.089,0,"19","ECHS1"
"TRAPPC3.1",0,0.550129282315636,0.592,0.093,0,"19","TRAPPC3"
"CLEC2D.1",0,0.550028483094052,0.602,0.105,0,"19","CLEC2D"
"CDK11A.1",0,0.549863203252653,0.606,0.109,0,"19","CDK11A"
"NAA50.1",0,0.549105612488759,0.564,0.068,0,"19","NAA50"
"PRPF6.1",0,0.549056700047794,0.589,0.104,0,"19","PRPF6"
"SMC1A.1",0,0.549033801130572,0.575,0.084,0,"19","SMC1A"
"SRSF1.1",0,0.548448704057738,0.603,0.106,0,"19","SRSF1"
"PBDC1.1",0,0.548265342246629,0.563,0.081,0,"19","PBDC1"
"TERF2IP.1",0,0.548100523635522,0.602,0.1,0,"19","TERF2IP"
"TWISTNB.1",0,0.547939634231653,0.594,0.067,0,"19","TWISTNB"
"ATG12.1",0,0.547846018313536,0.619,0.107,0,"19","ATG12"
"USP1.1",0,0.547608578063495,0.575,0.077,0,"19","USP1"
"RUVBL2.1",0,0.547508188747197,0.567,0.07,0,"19","RUVBL2"
"C17orf49.1",0,0.546814428376173,0.557,0.08,0,"19","C17orf49"
"CLDND1.1",0,0.546459870814002,0.584,0.099,0,"19","CLDND1"
"TUBA4A.1",0,0.546407054396347,0.602,0.09,0,"19","TUBA4A"
"TKT.1",0,0.545775920003487,0.588,0.098,0,"19","TKT"
"NUDCD2.1",0,0.545637295472289,0.608,0.081,0,"19","NUDCD2"
"COA3.1",0,0.544397768357503,0.58,0.089,0,"19","COA3"
"DCAF13.1",0,0.544394550604938,0.567,0.073,0,"19","DCAF13"
"GINS2.1",0,0.544221578117764,0.546,0.056,0,"19","GINS2"
"MRPL40.1",0,0.54382179445296,0.557,0.079,0,"19","MRPL40"
"FAM60A.1",0,0.543603158223966,0.549,0.075,0,"19","FAM60A"
"MKKS.1",0,0.543273676687817,0.578,0.088,0,"19","MKKS"
"TIMM50.1",0,0.542007775582694,0.586,0.073,0,"19","TIMM50"
"MOB1A.1",0,0.541518168381518,0.605,0.119,0,"19","MOB1A"
"AMD1.1",0,0.541089391835711,0.586,0.093,0,"19","AMD1"
"PSMG3.1",0,0.540370753101741,0.543,0.061,0,"19","PSMG3"
"MIER1.1",0,0.540198076531792,0.589,0.104,0,"19","MIER1"
"MEA1.1",0,0.53928295410908,0.581,0.084,0,"19","MEA1"
"NOB1.1",0,0.538924574675208,0.577,0.068,0,"19","NOB1"
"MED4.1",0,0.538771770924553,0.623,0.113,0,"19","MED4"
"ETFB.1",0,0.538713177301598,0.595,0.115,0,"19","ETFB"
"GLRX5.1",0,0.53823732692216,0.592,0.085,0,"19","GLRX5"
"ZNRD1.1",0,0.537864330087703,0.552,0.088,0,"19","ZNRD1"
"GPI.1",0,0.537830239588621,0.584,0.088,0,"19","GPI"
"SRSF4.1",0,0.537828629528746,0.584,0.086,0,"19","SRSF4"
"LRRC59.1",0,0.537818101517575,0.567,0.07,0,"19","LRRC59"
"BMS1.1",0,0.537530582553007,0.541,0.062,0,"19","BMS1"
"SUGT1.1",0,0.536707461619096,0.578,0.076,0,"19","SUGT1"
"CD82.2",0,0.536537688137854,0.566,0.087,0,"19","CD82"
"MPHOSPH10.1",0,0.536332406254247,0.588,0.08,0,"19","MPHOSPH10"
"MRPS25.1",0,0.536194921046984,0.569,0.075,0,"19","MRPS25"
"NDUFB5.1",0,0.535905338612484,0.614,0.107,0,"19","NDUFB5"
"RDX.1",0,0.535880018018902,0.536,0.067,0,"19","RDX"
"DHX15.1",0,0.53578915331753,0.564,0.08,0,"19","DHX15"
"CAPNS1.1",0,0.535503556259209,0.608,0.112,0,"19","CAPNS1"
"ITPA.1",0,0.535180988636688,0.538,0.076,0,"19","ITPA"
"CSNK1A1.1",0,0.535035407090673,0.602,0.107,0,"19","CSNK1A1"
"GARS.1",0,0.53427106675173,0.563,0.077,0,"19","GARS"
"MED28.1",0,0.532890664355212,0.594,0.088,0,"19","MED28"
"ISOC2.1",0,0.532104801478377,0.526,0.065,0,"19","ISOC2"
"ARPP19.1",0,0.53198307631522,0.567,0.087,0,"19","ARPP19"
"APOBEC3G",0,0.531276246773963,0.526,0.083,0,"19","APOBEC3G"
"FXR1.1",0,0.530613101594295,0.544,0.084,0,"19","FXR1"
"CS.1",0,0.529959020858542,0.623,0.093,0,"19","CS"
"CNIH4.1",0,0.52967367295432,0.569,0.084,0,"19","CNIH4"
"MCM5.1",0,0.529578015784015,0.58,0.069,0,"19","MCM5"
"PPIH.1",0,0.528919084468698,0.569,0.075,0,"19","PPIH"
"NDFIP2.1",0,0.528714273205434,0.552,0.062,0,"19","NDFIP2"
"SRPRB.1",0,0.528670234875921,0.555,0.068,0,"19","SRPRB"
"FUOM.1",0,0.528581898664393,0.543,0.077,0,"19","FUOM"
"PDIA4.1",0,0.528372164067259,0.561,0.091,0,"19","PDIA4"
"SUMO3.1",0,0.528026151276162,0.608,0.121,0,"19","SUMO3"
"EIF1B.1",0,0.527973752010025,0.614,0.104,0,"19","EIF1B"
"DDOST.1",0,0.527892432413852,0.6,0.091,0,"19","DDOST"
"ETFA.1",0,0.527473051198793,0.56,0.087,0,"19","ETFA"
"CCDC25.1",0,0.526990817660613,0.558,0.078,0,"19","CCDC25"
"C1orf131.1",0,0.526179052227802,0.569,0.095,0,"19","C1orf131"
"TBRG1.1",0,0.525792300655899,0.574,0.086,0,"19","TBRG1"
"BZW2.1",0,0.525661750293508,0.546,0.064,0,"19","BZW2"
"RN7SL1.1",0,0.525366425631092,0.564,0.091,0,"19","RN7SL1"
"NDUFS4.1",0,0.525340799130535,0.577,0.09,0,"19","NDUFS4"
"KRR1.1",0,0.525171799748544,0.535,0.076,0,"19","KRR1"
"TNFRSF25.1",0,0.524989671031694,0.509,0.057,0,"19","TNFRSF25"
"NUDT21.1",0,0.524395221330269,0.547,0.079,0,"19","NUDT21"
"TRAF1.1",0,0.524216511316931,0.51,0.076,0,"19","TRAF1"
"MRPS28.1",0,0.524009424437526,0.563,0.072,0,"19","MRPS28"
"POP4.1",0,0.52383498820675,0.566,0.079,0,"19","POP4"
"AKR1A1.1",0,0.523620217848149,0.571,0.103,0,"19","AKR1A1"
"RRP9.1",0,0.522881474775904,0.557,0.055,0,"19","RRP9"
"CCDC12.1",0,0.52270829405332,0.616,0.123,0,"19","CCDC12"
"TRIAP1.1",0,0.5226428052574,0.536,0.068,0,"19","TRIAP1"
"TNFRSF9.1",0,0.522373771003739,0.436,0.046,0,"19","TNFRSF9"
"HUWE1.1",0,0.522218754656596,0.58,0.087,0,"19","HUWE1"
"MRPS35.1",0,0.522143922821962,0.572,0.072,0,"19","MRPS35"
"PCNP.1",0,0.522068514837661,0.586,0.102,0,"19","PCNP"
"PPA2.1",0,0.521218825193482,0.56,0.081,0,"19","PPA2"
"HELLS.1",0,0.521159735893472,0.482,0.044,0,"19","HELLS"
"TIMM17B.1",0,0.520778678119317,0.578,0.083,0,"19","TIMM17B"
"FAM173A.1",0,0.520726360397051,0.519,0.071,0,"19","FAM173A"
"PABPC4.1",0,0.520647137602689,0.55,0.074,0,"19","PABPC4"
"RFC1.1",0,0.520409700525837,0.558,0.082,0,"19","RFC1"
"VBP1.1",0,0.520173735178261,0.56,0.081,0,"19","VBP1"
"ATIC.1",0,0.518587800152602,0.563,0.074,0,"19","ATIC"
"NAMPT.2",0,0.517726356675494,0.637,0.111,0,"19","NAMPT"
"FIBP.1",0,0.51653768995351,0.56,0.084,0,"19","FIBP"
"SLC1A5.1",0,0.516358840823801,0.529,0.052,0,"19","SLC1A5"
"RNF126.1",0,0.516162843011267,0.533,0.065,0,"19","RNF126"
"KIF5B.1",0,0.515674256781823,0.566,0.089,0,"19","KIF5B"
"SLC38A5.1",0,0.514619691533985,0.524,0.052,0,"19","SLC38A5"
"DUSP4.1",0,0.514584281366605,0.473,0.05,0,"19","DUSP4"
"FUNDC2.1",0,0.512689070201471,0.561,0.091,0,"19","FUNDC2"
"PPP1R7.1",0,0.512684816115222,0.553,0.086,0,"19","PPP1R7"
"ATRAID.1",0,0.512674087333983,0.598,0.107,0,"19","ATRAID"
"ARL5A.1",0,0.512013196578556,0.55,0.08,0,"19","ARL5A"
"G3BP2.1",0,0.511073399512145,0.561,0.092,0,"19","G3BP2"
"RAB8A.1",0,0.510915751504245,0.536,0.075,0,"19","RAB8A"
"USP14.1",0,0.510690998567648,0.569,0.064,0,"19","USP14"
"HM13.1",0,0.510585244145593,0.594,0.109,0,"19","HM13"
"SEPT1.1",0,0.510574346012303,0.577,0.104,0,"19","SEPT1"
"AP2M1.1",0,0.510160467376483,0.603,0.108,0,"19","AP2M1"
"DAP3.1",0,0.509268647220556,0.553,0.085,0,"19","DAP3"
"UBE2K.1",0,0.509218125482089,0.536,0.085,0,"19","UBE2K"
"UQCRC2.1",0,0.509096741101825,0.583,0.098,0,"19","UQCRC2"
"TFDP1.1",0,0.508991095698258,0.543,0.062,0,"19","TFDP1"
"DARS.1",0,0.508449290912462,0.558,0.09,0,"19","DARS"
"ESD.1",0,0.508015098837224,0.564,0.096,0,"19","ESD"
"TYW3.1",0,0.507954542616511,0.527,0.058,0,"19","TYW3"
"BLOC1S2.1",0,0.507685809441971,0.578,0.094,0,"19","BLOC1S2"
"MYCBP.1",0,0.507593335707121,0.516,0.064,0,"19","MYCBP"
"ZC3H8.1",0,0.507586532074015,0.536,0.082,0,"19","ZC3H8"
"KNOP1.1",0,0.507253634693501,0.535,0.076,0,"19","KNOP1"
"PGP.1",0,0.506527358460286,0.527,0.063,0,"19","PGP"
"SYAP1.1",0,0.506287135389995,0.524,0.073,0,"19","SYAP1"
"LYRM4.1",0,0.505784925480635,0.543,0.073,0,"19","LYRM4"
"PFDN1.1",0,0.505765822749009,0.56,0.093,0,"19","PFDN1"
"ASNSD1.1",0,0.505143632726499,0.543,0.071,0,"19","ASNSD1"
"RALY.1",0,0.5050073034098,0.555,0.093,0,"19","RALY"
"PPP2CA.1",0,0.50492399076723,0.566,0.095,0,"19","PPP2CA"
"CBWD5.1",0,0.504692288995326,0.524,0.065,0,"19","CBWD5"
"SMARCE1.1",0,0.504137939906636,0.58,0.091,0,"19","SMARCE1"
"TMEM70.1",0,0.504127068279278,0.555,0.083,0,"19","TMEM70"
"CBWD2.1",0,0.503930375860488,0.519,0.068,0,"19","CBWD2"
"PRDM1",0,0.503219811708524,0.451,0.059,0,"19","PRDM1"
"VTI1B.1",0,0.503201272432064,0.572,0.095,0,"19","VTI1B"
"RNH1.1",0,0.502839638061643,0.584,0.11,0,"19","RNH1"
"MLF2.1",0,0.502589706452689,0.535,0.071,0,"19","MLF2"
"OLA1.1",0,0.502003902261234,0.526,0.064,0,"19","OLA1"
"SZRD1.1",0,0.50192227162741,0.56,0.084,0,"19","SZRD1"
"ETF1.1",0,0.501816256185211,0.535,0.065,0,"19","ETF1"
"C1orf43.1",0,0.50166693721807,0.541,0.086,0,"19","C1orf43"
"DNAJC21.1",0,0.50157818757802,0.512,0.069,0,"19","DNAJC21"
"AFG3L2.1",0,0.50127880065421,0.507,0.063,0,"19","AFG3L2"
"WDR18.1",0,0.501065319802962,0.526,0.058,0,"19","WDR18"
"PTMS",0,0.500366770895125,0.467,0.051,0,"19","PTMS"
"PQBP1.1",0,0.499950807847105,0.56,0.085,0,"19","PQBP1"
"HPRT1.1",0,0.499848291764331,0.553,0.076,0,"19","HPRT1"
"PCMT1.1",0,0.499331630999752,0.577,0.092,0,"19","PCMT1"
"MRPS11.1",0,0.498914960159378,0.543,0.072,0,"19","MRPS11"
"ZBTB8OS.1",0,0.497237337503394,0.564,0.098,0,"19","ZBTB8OS"
"RPIA.1",0,0.497081640408584,0.516,0.065,0,"19","RPIA"
"EXOSC1.1",0,0.496516185160392,0.563,0.08,0,"19","EXOSC1"
"MIEN1.1",0,0.496475795239996,0.553,0.097,0,"19","MIEN1"
"MAF",0,0.496475588730158,0.451,0.051,0,"19","MAF"
"DPH3.1",0,0.496121272486464,0.522,0.063,0,"19","DPH3"
"LARP7.1",0,0.496038173083226,0.616,0.116,0,"19","LARP7"
"BCL7C.1",0,0.495966438159052,0.518,0.075,0,"19","BCL7C"
"FERMT3.1",0,0.495870302177158,0.541,0.085,0,"19","FERMT3"
"EIF4H.1",0,0.495665984075396,0.544,0.087,0,"19","EIF4H"
"MRPL42.1",0,0.495339871489379,0.524,0.059,0,"19","MRPL42"
"ARIH2.1",0,0.495179949586295,0.527,0.07,0,"19","ARIH2"
"MRPS18B.1",0,0.494713534323328,0.56,0.083,0,"19","MRPS18B"
"MTX1.1",0,0.494315196590122,0.522,0.065,0,"19","MTX1"
"LYPLA1.1",0,0.494312375254605,0.541,0.075,0,"19","LYPLA1"
"TRMT6.1",0,0.493981001084989,0.53,0.048,0,"19","TRMT6"
"VRK1.1",0,0.493946591041474,0.532,0.066,0,"19","VRK1"
"MAP7D3.1",0,0.493619365135942,0.512,0.064,0,"19","MAP7D3"
"PMVK.1",0,0.493433219696138,0.526,0.065,0,"19","PMVK"
"SLA.1",0,0.493402632006096,0.513,0.08,0,"19","SLA"
"UBALD2.1",0,0.492740484684081,0.507,0.083,0,"19","UBALD2"
"HNRNPL.1",0,0.492359869079228,0.567,0.101,0,"19","HNRNPL"
"MPHOSPH6.1",0,0.491456315050663,0.529,0.064,0,"19","MPHOSPH6"
"MRPS14.1",0,0.491084707591853,0.552,0.079,0,"19","MRPS14"
"SEC61A1.1",0,0.491013948084333,0.527,0.084,0,"19","SEC61A1"
"KIAA1430.1",0,0.490959364920304,0.518,0.073,0,"19","KIAA1430"
"FAM96A.1",0,0.490159199969077,0.572,0.104,0,"19","FAM96A"
"DAZAP1.1",0,0.490013427515141,0.526,0.065,0,"19","DAZAP1"
"ASXL1.1",0,0.489640530750871,0.504,0.064,0,"19","ASXL1"
"MCM3.1",0,0.489497065066861,0.532,0.062,0,"19","MCM3"
"BDP1.1",0,0.489429420527285,0.543,0.084,0,"19","BDP1"
"AIMP2.1",0,0.489051233935707,0.515,0.058,0,"19","AIMP2"
"TRAP1.1",0,0.489029607727924,0.493,0.061,0,"19","TRAP1"
"RALBP1.1",0,0.488632935635188,0.532,0.084,0,"19","RALBP1"
"BAG1.1",0,0.488179221464825,0.536,0.078,0,"19","BAG1"
"RRP1B.1",0,0.488172657982861,0.513,0.064,0,"19","RRP1B"
"PPID.1",0,0.487870219287132,0.509,0.055,0,"19","PPID"
"TNFSF14.1",0,0.486968931674922,0.429,0.053,0,"19","TNFSF14"
"TAF10.1",0,0.486958308849393,0.521,0.084,0,"19","TAF10"
"COPS3.1",0,0.486560194688088,0.515,0.065,0,"19","COPS3"
"SCAMP3.1",0,0.48649063240428,0.527,0.08,0,"19","SCAMP3"
"SRPR.1",0,0.486262255379766,0.522,0.07,0,"19","SRPR"
"PDCL3.1",0,0.486210966050459,0.526,0.081,0,"19","PDCL3"
"CD81.1",0,0.485064948772634,0.527,0.083,0,"19","CD81"
"ZC3H13.1",0,0.48475876817131,0.522,0.087,0,"19","ZC3H13"
"SLC43A3.1",0,0.484670218763174,0.513,0.055,0,"19","SLC43A3"
"PPP4R2.1",0,0.483447969050193,0.527,0.08,0,"19","PPP4R2"
"SLAMF1",0,0.483373031808578,0.47,0.047,0,"19","SLAMF1"
"ARL14EP.1",0,0.483270981231033,0.538,0.073,0,"19","ARL14EP"
"CBX1.1",0,0.483230721771287,0.524,0.072,0,"19","CBX1"
"SMIM12.1",0,0.48321533828908,0.541,0.073,0,"19","SMIM12"
"TIPIN.1",0,0.482325193537645,0.521,0.056,0,"19","TIPIN"
"C1orf86.1",0,0.481979468332953,0.56,0.095,0,"19","C1orf86"
"URI1.1",0,0.480591908988235,0.544,0.084,0,"19","URI1"
"SMC2.1",0,0.48058826094005,0.527,0.055,0,"19","SMC2"
"EXOSC7.1",0,0.480271954812915,0.493,0.062,0,"19","EXOSC7"
"ASNA1.1",0,0.480223474477634,0.535,0.08,0,"19","ASNA1"
"SCNM1.1",0,0.479821170525575,0.521,0.083,0,"19","SCNM1"
"OTUB1.1",0,0.479081982309328,0.564,0.094,0,"19","OTUB1"
"CDK6.1",0,0.478950604285972,0.473,0.051,0,"19","CDK6"
"PRICKLE4.1",0,0.47858940676769,0.502,0.058,0,"19","PRICKLE4"
"FRMD4B",0,0.478281341809944,0.457,0.055,0,"19","FRMD4B"
"C12orf10.1",0,0.478262502805184,0.493,0.064,0,"19","C12orf10"
"EIF4B.1",0,0.478082432453071,0.543,0.091,0,"19","EIF4B"
"NIP7.1",0,0.477022115824153,0.496,0.056,0,"19","NIP7"
"GRWD1.1",0,0.476765742769532,0.491,0.056,0,"19","GRWD1"
"GLO1.1",0,0.476416927595142,0.501,0.064,0,"19","GLO1"
"BAZ1B.1",0,0.475856247162419,0.513,0.075,0,"19","BAZ1B"
"ECHDC1.1",0,0.475684658116445,0.509,0.069,0,"19","ECHDC1"
"HSPA4.1",0,0.475437534569709,0.512,0.07,0,"19","HSPA4"
"KPNA2.1",0,0.474871095504526,0.518,0.057,0,"19","KPNA2"
"RRP1.1",0,0.474862381903384,0.501,0.056,0,"19","RRP1"
"POLR2C.1",0,0.474517229295047,0.502,0.065,0,"19","POLR2C"
"BCAS2.1",0,0.474437728988366,0.543,0.079,0,"19","BCAS2"
"EIF2A.1",0,0.474004680085208,0.536,0.079,0,"19","EIF2A"
"GRSF1.1",0,0.473815227577804,0.505,0.066,0,"19","GRSF1"
"COMMD1.1",0,0.473709519820285,0.516,0.078,0,"19","COMMD1"
"DRG1.1",0,0.47239670621834,0.51,0.071,0,"19","DRG1"
"ZNHIT3.1",0,0.472359896403451,0.543,0.082,0,"19","ZNHIT3"
"C17orf62.1",0,0.471757282844323,0.507,0.079,0,"19","C17orf62"
"ALG5.1",0,0.471608049148997,0.505,0.072,0,"19","ALG5"
"ADK.1",0,0.471076162723118,0.522,0.082,0,"19","ADK"
"LYST.1",0,0.470713842944887,0.496,0.065,0,"19","LYST"
"PITPNB.1",0,0.470211103030356,0.495,0.073,0,"19","PITPNB"
"TMEM261.1",0,0.469404461704074,0.501,0.081,0,"19","TMEM261"
"AAMP.1",0,0.468579168429771,0.521,0.072,0,"19","AAMP"
"UCHL5.1",0,0.467539975349317,0.496,0.067,0,"19","UCHL5"
"TUSC2.1",0,0.466402034559718,0.518,0.076,0,"19","TUSC2"
"RALA.1",0,0.466100773462926,0.496,0.074,0,"19","RALA"
"URM1.1",0,0.465835517932444,0.513,0.072,0,"19","URM1"
"RABEP1.1",0,0.465733301835249,0.484,0.069,0,"19","RABEP1"
"CDC5L.1",0,0.465627878738742,0.51,0.073,0,"19","CDC5L"
"RBM28.1",0,0.465617860914515,0.493,0.054,0,"19","RBM28"
"RP1-241P17.4.1",0,0.465183686963903,0.49,0.066,0,"19","RP1-241P17.4"
"SF3A3.1",0,0.465103036899765,0.502,0.065,0,"19","SF3A3"
"GPN3.1",0,0.464953027445993,0.502,0.06,0,"19","GPN3"
"PSMD3.1",0,0.464934792996725,0.495,0.068,0,"19","PSMD3"
"RPP21.1",0,0.463984947294326,0.524,0.088,0,"19","RPP21"
"IDH3B.1",0,0.463963285634806,0.512,0.079,0,"19","IDH3B"
"SKIV2L2.1",0,0.463679022373535,0.496,0.069,0,"19","SKIV2L2"
"MRPL35.1",0,0.463384001502865,0.479,0.05,0,"19","MRPL35"
"RBCK1.1",0,0.463275144468127,0.507,0.079,0,"19","RBCK1"
"C7orf50.1",0,0.462803508615934,0.524,0.085,0,"19","C7orf50"
"EBPL.1",0,0.462594659121943,0.484,0.063,0,"19","EBPL"
"VMA21.1",0,0.461712691151213,0.507,0.076,0,"19","VMA21"
"NSMCE1.1",0,0.461281524857727,0.529,0.089,0,"19","NSMCE1"
"PRPF31.1",0,0.460720578100202,0.473,0.056,0,"19","PRPF31"
"FDX1.1",0,0.460673461321525,0.518,0.077,0,"19","FDX1"
"MAT2A.1",0,0.460287775509144,0.491,0.073,0,"19","MAT2A"
"SNRNP40.1",0,0.460109571522949,0.516,0.078,0,"19","SNRNP40"
"WBP11.1",0,0.459496705152938,0.501,0.072,0,"19","WBP11"
"NAA15.1",0,0.458736924732342,0.505,0.062,0,"19","NAA15"
"RHOF.1",0,0.458059058219511,0.498,0.081,0,"19","RHOF"
"YAF2.1",0,0.457202878026564,0.482,0.074,0,"19","YAF2"
"SDAD1.1",0,0.457188752411139,0.512,0.067,0,"19","SDAD1"
"NAE1.1",0,0.456885892262491,0.51,0.072,0,"19","NAE1"
"CLINT1.1",0,0.456231744017547,0.51,0.075,0,"19","CLINT1"
"NGDN.1",0,0.45583543362455,0.518,0.076,0,"19","NGDN"
"TMPO.1",0,0.455319122897341,0.46,0.064,0,"19","TMPO"
"SBDS.1",0,0.455268457319588,0.496,0.073,0,"19","SBDS"
"SHMT2.1",0,0.455134279127058,0.481,0.071,0,"19","SHMT2"
"THOC2.1",0,0.454619717969795,0.51,0.08,0,"19","THOC2"
"PSMG4.1",0,0.454397377857399,0.491,0.059,0,"19","PSMG4"
"ADSS.1",0,0.453956036016051,0.488,0.078,0,"19","ADSS"
"KXD1.1",0,0.4536242798024,0.499,0.072,0,"19","KXD1"
"YWHAG.1",0,0.45321927936065,0.485,0.074,0,"19","YWHAG"
"AP000350.4.1",0,0.451692973644845,0.496,0.069,0,"19","AP000350.4"
"IQCG",0,0.450622105261581,0.24,0.018,0,"19","IQCG"
"TSR1.1",0,0.450150998750887,0.488,0.054,0,"19","TSR1"
"STAU1.1",0,0.449840887847145,0.493,0.065,0,"19","STAU1"
"MPLKIP.1",0,0.449275115245229,0.499,0.071,0,"19","MPLKIP"
"SUCLG1.1",0,0.44903251987804,0.495,0.067,0,"19","SUCLG1"
"ACTN4",0,0.448985586385507,0.485,0.071,0,"19","ACTN4"
"TIMM8A.1",0,0.448948258384749,0.49,0.048,0,"19","TIMM8A"
"GLRX2.1",0,0.448915502998457,0.45,0.044,0,"19","GLRX2"
"ACIN1.1",0,0.448744565859866,0.487,0.074,0,"19","ACIN1"
"LARP1.1",0,0.447987914695643,0.465,0.065,0,"19","LARP1"
"PTS.1",0,0.447791261756409,0.474,0.052,0,"19","PTS"
"PNP.1",0,0.447245103715297,0.451,0.054,0,"19","PNP"
"FAM105B",0,0.446457072776879,0.471,0.068,0,"19","FAM105B"
"DBF4.1",0,0.446129498455876,0.453,0.049,0,"19","DBF4"
"DNAJA2.1",0,0.44557411688822,0.482,0.062,0,"19","DNAJA2"
"WBP4.1",0,0.445302217429441,0.481,0.069,0,"19","WBP4"
"NFKBIB.1",0,0.445284503864692,0.474,0.053,0,"19","NFKBIB"
"EXOSC9.1",0,0.445066303486245,0.471,0.054,0,"19","EXOSC9"
"CISH.1",0,0.444244659279977,0.473,0.06,0,"19","CISH"
"NOC3L.1",0,0.444154251757712,0.453,0.051,0,"19","NOC3L"
"FTSJ3.1",0,0.443980057650838,0.457,0.05,0,"19","FTSJ3"
"EBP.1",0,0.443862087022857,0.47,0.058,0,"19","EBP"
"PHAX.1",0,0.443802248831318,0.484,0.065,0,"19","PHAX"
"MLX.1",0,0.443767928668958,0.493,0.067,0,"19","MLX"
"DDX52.1",0,0.442441074246648,0.488,0.064,0,"19","DDX52"
"C1D.1",0,0.441920484484166,0.487,0.069,0,"19","C1D"
"PHF14.1",0,0.440962837125398,0.512,0.08,0,"19","PHF14"
"PMAIP1.1",0,0.440777129554413,0.462,0.055,0,"19","PMAIP1"
"KIAA1143.1",0,0.440177042438315,0.502,0.077,0,"19","KIAA1143"
"TRIM28.1",0,0.4398727100848,0.47,0.068,0,"19","TRIM28"
"NUBP2.1",0,0.439845572994707,0.491,0.065,0,"19","NUBP2"
"UBE2G2.1",0,0.439460266905821,0.482,0.065,0,"19","UBE2G2"
"C20orf27.1",0,0.439208560590175,0.491,0.057,0,"19","C20orf27"
"FARSB.1",0,0.43918930615452,0.488,0.07,0,"19","FARSB"
"RAB11A.1",0,0.438932921105462,0.529,0.086,0,"19","RAB11A"
"C1orf35.1",0,0.438721507104598,0.453,0.061,0,"19","C1orf35"
"HMOX2.1",0,0.43785293215253,0.513,0.082,0,"19","HMOX2"
"CCDC47.1",0,0.437758607666192,0.473,0.059,0,"19","CCDC47"
"RIOK1.1",0,0.437611516476007,0.451,0.048,0,"19","RIOK1"
"SIAH2",0,0.436632951874627,0.443,0.049,0,"19","SIAH2"
"GART.1",0,0.436547152667065,0.482,0.059,0,"19","GART"
"C21orf59.1",0,0.436520787595045,0.462,0.059,0,"19","C21orf59"
"MPDU1.1",0,0.436330161794088,0.487,0.062,0,"19","MPDU1"
"SNX5.1",0,0.436123095596011,0.467,0.07,0,"19","SNX5"
"PTPMT1.1",0,0.43608479152407,0.478,0.062,0,"19","PTPMT1"
"NCBP2-AS2.1",0,0.43605683209593,0.471,0.066,0,"19","NCBP2-AS2"
"AHCY.1",0,0.43602294087362,0.462,0.053,0,"19","AHCY"
"COPZ1.1",0,0.435991731926249,0.501,0.081,0,"19","COPZ1"
"EXOSC5.1",0,0.43594653221286,0.451,0.055,0,"19","EXOSC5"
"TANK",0,0.435582906336512,0.471,0.068,0,"19","TANK"
"EIF4E2.1",0,0.43541679739422,0.491,0.076,0,"19","EIF4E2"
"HDAC1.1",0,0.435374410243135,0.509,0.076,0,"19","HDAC1"
"SF3B4.1",0,0.435309885042922,0.482,0.069,0,"19","SF3B4"
"MRPL43.1",0,0.434510436615891,0.476,0.065,0,"19","MRPL43"
"DDX56.1",0,0.434283108067026,0.473,0.059,0,"19","DDX56"
"NIT2.1",0,0.433065075446877,0.462,0.054,0,"19","NIT2"
"MFNG.1",0,0.432698543037784,0.474,0.066,0,"19","MFNG"
